ts,open,high,low,close,kvwapd1,kvwaph4,kvwaph1,kvwapm30,kvwapm15,kvwapm5,kvwapm1,fair_price,breakout_price,breakout_coc,breakout_rev
2020-01-01,7189.43,7260.43,7170.15,7197.57,7206.960763,7207.200273,7209.113127,7210.914232,7212.490628,7213.594586,7213.812564,,,FALSE,FALSE
2020-01-02,7197.57,7209.59,6922,6962.04,7150.300132,7148.396322,7133.284933,7119.442701,7107.708613,7098.210272,7094.367709,,,,
2020-01-03,6962.34,7407.28,6863.44,7341.72,7099.309792,7104.490766,7145.817573,7179.494239,7201.988057,7217.045064,7223.014723,,,,
2020-01-04,7341.6,7400,7269.21,7350.71,7322.049369,7322.201525,7323.41222,7324.722705,7326.135701,7327.450556,7327.827923,,,,
2020-01-05,7350.54,7495,7303,7354.36,7431.689588,7431.703478,7431.890069,7432.137648,7432.194791,7431.769449,7431.457984,,,,
2020-01-06,7354.36,7808.65,7345,7757.39,7480.336873,7481.78035,7493.677081,7504.849162,7515.189369,7526.761807,7533.26424,,,,
2020-01-07,7757.74,8215.33,7733,8152.49,7890.826533,7891.844236,7899.878542,7908.120356,7916.573333,7924.513894,7929.146109,,,,
2020-01-08,8150.9,8468.42,7870.11,8059.84,8315.809655,8313.02006,8291.057224,8271.125419,8254.55563,8242.933962,8239.94854,,,,
2020-01-09,8059.77,8060,7750.01,7818.59,7950.311597,7948.461461,7934.048891,7922.385625,7914.237361,7908.038193,7905.080343,,,,
2020-01-10,7817.91,8210.62,7670,8207.09,7819.583126,7822.604166,7845.58063,7864.158896,7877.766246,7887.908753,7892.49278,,,,
2020-01-11,8207.2,8292.19,8003.87,8020.56,8139.879165,8139.253681,8133.831458,8129.277713,8126.151798,8123.017639,8121.086112,,,,
2020-01-12,8020.58,8195,7956.28,8186.7,8090.12341,8091.135971,8099.234375,8105.919376,8110.787503,8115.211588,8117.771736,,,,
2020-01-13,8186.22,8200,8053.78,8113,8121.528327,8121.124651,8117.747708,8114.874934,8112.924796,8111.425416,8110.634651,,,,
2020-01-14,8112.99,8893,8109.02,8825,8445.005273,8449.578061,8486.017226,8517.88687,8543.398754,8565.951883,8577.29868,,,,
2020-01-15,8825,8921.2,8570.52,8825.3,8751.787355,8752.617632,8758.067718,8760.687144,8761.363957,8761.982224,8762.495072,,,,
2020-01-16,8825.35,8868.21,8596.25,8725.08,8702.53151,8702.528683,8702.229362,8701.495913,8700.25257,8698.079719,8696.456867,,,,
2020-01-17,8724.99,9039,8680,8918.72,8817.50984,8819.35284,8834.662918,8848.506179,8859.338348,8868.082791,8871.58063,,,,
2020-01-18,8918.73,8995,8816,8925,8910.61744,8910.588281,8909.90667,8908.701578,8907.577847,8907.233134,8907.594799,,,,
2020-01-19,8925,9205.3,8440.91,8705.85,9010.517082,9003.290684,8948.248888,8907.601535,8884.071659,8871.309926,8867.319241,,9039,FALSE,FALSE
2020-01-20,8705.98,8750.37,8526.06,8650,8670.840755,8670.426405,8667.516257,8665.890901,8665.264094,8664.523415,8663.645217,,,,
2020-01-21,8650,8790.1,8448.6,8742.43,8659.933944,8659.945007,8660.162301,8661.014221,8662.940489,8666.061453,8667.755484,,,,
2020-01-22,8742.78,8820,8585.85,8684.57,8717.905147,8716.767232,8707.951879,8701.228452,8696.918049,8693.691526,8692.320826,,,,
2020-01-23,8684.47,8694,8326,8409.6,8561.038742,8557.253402,8527.770622,8504.528344,8489.168346,8478.358683,8473.666604,,8440.91,TRUE,FALSE
2020-01-24,8410,8528,8247,8441.96,8371.115628,8372.839657,8385.897079,8395.869581,8402.013475,8405.044716,8405.759436,,,,
2020-01-25,8442.82,8455,8272,8344.64,8339.058553,8339.385968,8341.798816,8343.669446,8344.828258,8344.765971,8343.813682,,,,
2020-01-26,8344.37,8624.45,8300,8611.21,8384.198197,8386.972571,8408.729515,8426.938205,8440.482855,8450.763122,8454.943744,,,,
2020-01-27,8611.21,9015.48,8565,8913.61,8673.329164,8675.949736,8696.162157,8713.499118,8727.588395,8739.137908,8743.962779,,8820,TRUE,FALSE
2020-01-28,8913.61,9436.06,8905,9398.98,9059.374933,9058.902704,9055.141667,9052.726596,9053.100134,9057.681382,9062.793195,,,,
2020-01-29,9399.72,9460.52,9242,9311,9357.720087,9357.468761,9355.601324,9354.66139,9354.556117,9354.152712,9353.492498,,,,
2020-01-30,9311.23,9599,9210.42,9525.67,9329.296036,9331.674511,9350.619236,9367.536384,9381.38389,9392.567776,9396.645417,,,,
2020-01-31,9525.67,9550.72,9220,9364.51,9424.257442,9421.961391,9403.740135,9389.301327,9380.129028,9374.31027,9372.07936,,,,
2020-02-01,9364.5,9477.76,9306,9392.74,9404.568001,9403.789988,9398.006054,9394.293333,9392.941859,9393.0241,9393.355565,,,,
2020-02-02,9392.99,9489.92,9160.01,9338.2,9356.714996,9358.749307,9374.42118,9386.043608,9392.373336,9394.848468,9394.779237,,,,
2020-02-03,9340.49,9647.61,9250,9300.64,9388.793614,9387.32021,9375.765551,9366.516318,9360.43417,9356.888673,9356.173883,,9599,FALSE,FALSE
2020-02-04,9300.63,9368,9105,9198.35,9277.547987,9275.541252,9259.911965,9247.698062,9239.549787,9233.540618,9231.324438,,9160.01,TRUE,FALSE
2020-02-05,9198.32,9799.08,9179.88,9630,9285.782019,9291.364716,9334.885491,9370.97508,9397.418821,9416.753609,9424.28618,,9647.61,TRUE,FALSE
